0.026,-0.05,0.995,-1.625,0.32,0.328
0.025,-0.053,0.997,-2.075,0.237,0.298
0.024,-0.051,0.997,-2.182,0.099,0.298
0.024,-0.048,0.997,-2.258,-0.168,0.305
0.027,-0.047,0.998,-2.068,-0.175,0.397
0.025,-0.045,0.999,-2.007,-0.404,0.526
0.027,-0.047,0.998,-2.449,-0.916,0.458
0.026,-0.048,0.998,-2.701,-0.862,0.381
0.022,-0.046,1,-2.716,-0.664,-0.084
0.041,-0.058,0.984,-6.195,0.755,-6.363
0.028,-0.055,0.993,-3.319,0,-2.975
0.024,-0.052,1.003,-1.945,-0.481,-1.312
0.026,-0.052,0.997,-0.893,-0.191,-0.732
0.024,-0.052,0.993,-0.374,-0.275,0.298
0.023,-0.051,0.993,-0.366,0.046,0.427
0.023,-0.054,0.996,-0.481,-0.229,0.389
0.023,-0.053,0.998,-0.626,-0.412,0.427
0.024,-0.052,0.997,-0.633,-0.45,0.259
0.026,-0.051,1,-0.786,-0.633,0.389
0.024,-0.051,1,-0.984,-0.809,0.366
0.026,-0.049,0.997,-1.007,-0.687,0.404
0.028,-0.049,1.001,-0.481,-0.137,0.488
0.026,-0.05,0.997,-0.137,0.351,0.618
0.025,-0.049,0.999,0.099,0.526,0.648
0.025,-0.049,1,0.526,0.534,0.603
0.024,-0.05,0.996,0.519,0.793,0.641
0.024,-0.051,0.995,0.404,0.824,0.45
0.024,-0.052,0.998,0.237,0.74,0.557
0.022,-0.052,0.998,-0.053,0.687,0.603
0.024,-0.051,0.999,-0.313,0.938,0.572
0.026,-0.05,1.003,-0.465,1.274,0.656
0.024,-0.051,1.001,-0.534,1.495,0.778
0.023,-0.048,0.995,-0.214,1.869,0.824
0.023,-0.048,0.998,0.053,1.633,0.923
0.023,-0.046,0.999,0.221,1.137,1.221
0.022,-0.049,0.998,0.252,0.954,1.213
0.024,-0.051,1.004,0.183,1.434,1.122
0.021,-0.048,0.998,-0.343,2.678,0.977
0.019,-0.05,0.996,-0.992,2.846,0.87
0.02,-0.047,0.995,-1.144,2.655,0.832
0.018,-0.048,0.996,-1.068,2.426,0.999
0.02,-0.048,0.997,-0.931,1.854,1.274
0.02,-0.049,0.998,-0.16,2.602,1.64
0.017,-0.05,0.992,0.755,3.143,2.258
0.016,-0.046,0.992,0.801,2.625,2.281
0.017,-0.048,0.996,0.732,1.564,2.388
0.02,-0.044,1,1.152,1.572,2.655
0.017,-0.043,0.996,1.846,1.823,3.075
0.014,-0.047,0.993,2.579,0.893,3.426
0.014,-0.044,0.994,2.701,-0.954,3.418
0.017,-0.044,0.998,2.434,-1.762,3.105
0.015,-0.045,0.996,1.48,-2.243,2.937
0.018,-0.043,0.999,0.801,-2.846,2.769
0.018,-0.046,1.001,-0.015,-2.823,2.563
0.016,-0.045,0.998,-0.038,-2.434,2.22
0.019,-0.043,0.996,0.168,-1.793,2.037
0.018,-0.045,0.997,0.427,-1.549,2.098
0.021,-0.045,0.998,0.664,-1.48,1.9
0.021,-0.044,1.002,0.42,-0.832,1.724
0.023,-0.042,1.001,-0.122,-0.023,1.488
0.021,-0.044,1.006,-0.473,1.328,1.419
0.017,-0.042,1.001,-0.626,2.701,1.381
0.018,-0.044,0.999,-0.534,3.334,1.373
0.016,-0.041,0.996,-0.32,3.304,1.266
0.016,-0.042,0.994,-0.366,2.693,1.198
0.016,-0.041,0.996,-0.488,1.976,1.022
0.017,-0.041,1,-0.572,1.61,0.969
0.015,-0.044,0.992,-0.465,1.534,0.839
0.014,-0.045,0.993,-0.549,1.289,0.847
0.013,-0.044,0.995,-0.671,0.534,0.885
0.014,-0.044,0.998,-0.984,0.069,0.854
0.013,-0.043,0.995,-1.221,0.053,0.793
0.014,-0.043,1.002,-1.373,-0.122,0.748
0.016,-0.042,1.002,-1.358,0.038,0.702
0.015,-0.039,1.006,-1.175,0.237,0.793
0.016,-0.041,0.997,-0.648,0.427,1.022
0.015,-0.041,0.995,-0.16,0.557,0.969
0.015,-0.042,0.996,-0.137,0.389,0.946
0.014,-0.042,0.996,-0.237,-0.046,1.083
0.014,-0.042,0.995,-0.526,-0.923,0.961
0.014,-0.043,0.999,-1.19,-1.236,0.732
0.015,-0.042,1,-1.32,-0.969,0.725
0.014,-0.044,0.997,-1.358,0.053,0.58
0.016,-0.043,0.999,-1.251,0.946,0.687
0.012,-0.039,0.997,-1.129,0.862,0.809
0.013,-0.039,0.996,-0.542,1.45,0.824
0.012,-0.04,0.991,0.267,1.572,0.9
0.013,-0.04,1,0.282,0.74,0.908
0.015,-0.04,1.001,0.328,0.443,0.961
0.012,-0.041,0.998,0.168,-0.114,0.893
0.013,-0.041,0.997,-0.023,-0.641,0.916
0.009,-0.042,0.998,-0.107,-0.771,0.793
0.011,-0.042,1.001,-0.107,-0.885,0.801
0.013,-0.041,0.995,-0.282,-1.335,0.725
0.012,-0.041,0.995,-0.687,-1.839,0.519
0.013,-0.039,1,-0.748,-1.976,0.618
0.015,-0.042,1,-0.694,-1.648,0.755
0.014,-0.045,0.998,-0.71,-1.312,0.603
0.013,-0.041,0.997,-1.007,-1.419,0.671
0.016,-0.039,1.001,-0.961,-0.595,0.801
0.014,-0.042,1,-0.679,0.443,0.9
0.013,-0.039,0.999,-0.793,0.694,0.9
0.014,-0.043,0.997,-0.801,0.198,0.954
0.013,-0.041,0.996,-0.542,-0.069,0.74
0.011,-0.039,0.999,0.046,0.206,0.748
0.012,-0.039,0.995,0.183,-0.183,0.74
0.012,-0.039,0.993,0.305,-0.511,0.793
0.013,-0.04,0.995,0.175,-1.656,0.679
0.015,-0.043,0.998,-0.16,-1.9,0.664
0.014,-0.041,0.998,-0.504,-1.755,0.71
0.013,-0.039,0.996,-0.58,-2.052,0.648
0.016,-0.04,0.999,-0.778,-2.449,0.755
0.015,-0.039,1.003,-0.465,-1.526,0.679
0.014,-0.038,0.998,-0.214,-0.725,0.732
0.014,-0.037,0.997,-0.076,-0.389,0.877
0.015,-0.036,1,-0.191,-0.084,0.801
0.016,-0.037,0.998,-0.351,0.343,0.717
0.015,-0.038,0.995,-0.45,0.267,0.671
0.013,-0.038,0.997,-0.595,-0.145,0.648
0.013,-0.039,0.998,-0.71,-0.053,0.763
0.013,-0.042,0.998,-0.671,-0.374,0.748
0.015,-0.039,0.995,-0.641,-0.824,0.671
0.013,-0.041,0.998,-0.595,-1.228,0.763
0.014,-0.041,0.996,-0.458,-1.572,0.778
0.014,-0.039,0.998,-0.519,-1.472,0.71
0.015,-0.038,0.999,-0.748,-1.167,0.587
0.015,-0.038,1.001,-1.03,-0.679,0.61
0.015,-0.037,0.999,-1.045,-0.473,0.633
0.016,-0.037,1.001,-0.71,-0.229,0.633
0.015,-0.034,0.996,-0.763,0.145,0.595
0.013,-0.039,0.995,-0.687,0.557,0.488
0.016,-0.04,0.993,-0.916,0.725,0.412
0.015,-0.04,0.995,-1.022,0.504,0.328
0.013,-0.038,0.998,-1.099,0.183,0.32
0.013,-0.039,0.996,-1.007,-0.549,0.404
0.013,-0.039,1.001,-1.015,-0.717,0.42
0.015,-0.041,1.001,-0.961,-0.473,0.488
0.015,-0.039,1,-0.809,-0.488,0.481
0.012,-0.039,0.999,-0.816,-0.572,0.427
0.012,-0.039,0.998,-0.87,-0.992,0.519
0.014,-0.038,0.999,-1.114,-1.038,0.504
0.016,-0.038,0.997,-1.236,-0.717,0.595
0.017,-0.038,1.003,-1.373,-0.038,0.58
0.016,-0.04,0.997,-0.999,1.19,0.45
0.014,-0.039,0.997,-0.832,1.251,0.412
0.011,-0.042,0.998,-0.778,1.007,0.534
0.01,-0.038,0.995,-0.885,0.801,0.443
0.012,-0.04,0.998,-0.992,0.534,0.427
0.012,-0.039,0.998,-1.015,1.068,0.366
0.012,-0.037,0.998,-1.541,1.694,0.252
0.012,-0.04,1,-1.732,2.411,0.298
0.011,-0.039,0.997,-1.198,1.823,0.313
0.009,-0.039,0.993,-1.358,0.847,0.305
0.012,-0.038,0.997,-1.564,-0.099,0.366
0.011,-0.04,0.995,-1.35,-0.198,0.298
0.013,-0.038,0.995,-1.015,-0.343,0.267
0.01,-0.038,0.998,-0.908,-0.374,0.381
0.011,-0.04,0.996,-1.007,-0.168,0.465
0.008,-0.04,0.993,-0.87,-0.305,0.389
0.011,-0.042,0.995,-0.771,-1.083,0.504
0.011,-0.039,0.999,-0.702,-1.175,0.633
0.01,-0.04,1.001,-0.534,-0.931,0.755
0.011,-0.039,0.997,-0.343,-0.488,0.61
0.01,-0.038,0.999,-0.221,-0.183,0.504
