0.002,-0.004,1.005,-0.633,-0.241,-0.096,0.29,0,0,-0.96
-0.002,-0.002,1.005,-0.251,0.354,-0.34,0.29,0,0,-0.96
-0.003,-0.004,1.001,0.039,0.202,0.041,0.29,0,0,-0.96
0,-0.003,1,0.092,0.644,0.072,0.29,0,0,-0.96
0.001,-0.002,1.001,0.039,0.263,0.072,0.29,0,0,-0.96
-0.001,-0.006,1.002,-0.251,0.423,-0.18,0.29,0,0,-0.96
-0.004,-0.004,1.001,0.543,0.331,0.247,0.29,0,0,-0.96
-0.004,-0.001,1.001,-0.427,-0.142,-0.073,0.29,0,0,-0.96
-0.002,-0.003,1.003,-0.213,-0.165,-0.287,0.29,0,0,-0.96
-0.002,-0.003,1.003,-0.434,-0.211,-0.012,0.29,0,0,-0.96
0.001,-0.002,1.006,-0.816,-0.249,0.072,0.29,0,0,-0.96
-0.003,-0.004,1.002,-1.259,-0.111,-0.249,0.29,0,0,-0.96
-0.002,0,1.002,-1.541,-0.119,-0.234,0.29,0,0,-0.96
-0.004,-0.002,1.003,-1.32,0.011,-0.195,0.29,0,0,-0.96
-0.002,-0.003,1,-1.228,0.087,-0.195,0.29,0,0,-0.96
-0.003,-0.005,1.003,-0.053,0.369,-0.058,0.29,0,0,-0.96
-0.002,-0.005,1.004,0.146,0.102,0.14,0.29,0,0,-0.96
-0.001,-0.006,1,0.337,0.095,0.27,0.29,0,0,-0.96
-0.003,-0.004,1,0.092,0.133,0.308,0.29,0,0,-0.96
0.001,-0.003,0.999,-0.099,0.011,0.331,0.29,0,0,-0.96
0.001,-0.005,1.004,-0.053,0.171,0.308,0.29,0,0,-0.96
-0.004,-0.003,1.003,-0.129,-0.02,0.11,0.29,0,0,-0.96
0,-0.006,1.001,-0.091,0.11,-0.012,0.29,0,0,-0.96
-0.002,-0.002,1.002,0.024,0.56,0.247,0.29,0,0,-0.96
-0.002,-0.002,1.002,0.482,0.156,-0.165,0.29,0,0,-0.96
0.001,-0.003,1.004,0.146,0.102,-0.119,0.29,0,0,-0.96
-0.002,-0.004,1.002,0.069,0.278,-0.279,0.29,0,0,-0.96
-0.001,-0.003,1,0.283,0.156,-0.058,0.29,0,0,-0.96
0,-0.001,1,-0.358,0.018,-0.264,0.29,0,0,-0.96
-0.004,0.002,1.003,-0.144,0.079,0.163,0.29,0,0,-0.96
-0.002,-0.001,1.004,0.192,0.209,-0.081,0.29,0,0,-0.96
-0.001,-0.002,1.002,0.008,-0.066,-0.096,0.29,0,0,-0.96
-0.003,-0.005,1.003,0.092,0.194,-0.119,0.29,0,0,-0.96
-0.003,-0.002,1.003,-0.144,-0.081,-0.173,0.29,0,0,-0.96
-0.003,-0.005,1.002,-0.572,-0.096,-0.089,0.29,0,0,-0.96
0,-0.001,1.004,-0.74,-0.058,-0.18,0.29,0,0,-0.96
-0.003,-0.003,1.003,-0.259,0.064,-0.234,0.29,0,0,-0.96
-0.006,-0.004,0.998,-0.457,-0.363,-0.043,0.29,0,0,-0.96
-0.002,-0.004,1.001,-0.266,-0.424,0.003,0.29,0,0,-0.96
-0.002,-0.004,1.001,-0.045,-0.073,0.163,0.29,0,0,-0.96
0.001,-0.005,1.003,0.115,-0.256,0.133,0.29,0,0,-0.96
0.002,-0.005,1.005,0.512,0.156,-0.18,0.29,0,0,-0.96
-0.004,-0.006,1.004,-0.175,0.034,0.095,0.29,0,0,-0.96
-0.001,-0.001,0.997,0.054,0.095,0.217,0.29,0,0,-0.96
0,-0.003,1.002,0.199,-0.05,0.041,0.29,0,0,-0.96
0.003,-0.003,1.002,-0.35,0.568,0.003,0.29,0,0,-0.96
-0.002,-0.002,1.002,-0.244,0.247,0.163,0.29,0,0,-0.96
0.001,-0.001,1.005,-0.862,0.171,-0.234,0.29,0,0,-0.96
-0.002,-0.002,1.003,-0.305,-0.188,0.118,0.29,0,0,-0.96
-0.002,-0.002,1.002,-0.129,-0.05,0.453,0.29,0,0,-0.96
-0.001,-0.003,1,-0.663,0.026,-0.035,0.29,0,0,-0.96
-0.003,-0.004,1.002,-0.289,0.11,0.232,0.29,0,0,-0.96
-0.002,-0.005,1.003,-0.541,0.316,0.278,0.29,0,0,-0.96
-0.002,-0.005,1.003,-0.557,0.209,0.163,0.29,0,0,-0.96
-0.001,-0.004,1.004,-0.266,0.118,-0.012,0.29,0,0,-0.96
0,-0.001,1.001,-0.343,-0.073,-0.035,0.29,0,0,-0.96
-0.002,-0.003,1.002,-0.328,0.026,-0.119,0.29,0,0,-0.96
-0.005,-0.005,1.003,-0.503,0.003,0.049,0.29,0,0,-0.96
0.002,-0.005,1.004,-0.434,0.308,-0.318,0.29,0,0,-0.96
0.001,-0.005,1.003,-0.328,0.102,-0.15,0.29,0,0,-0.96
0.002,-0.006,1.004,-0.557,-0.127,-0.058,0.29,0,0,-0.96
-0.004,-0.005,1.001,-0.121,-0.043,0.102,0.29,0,0,-0.96
-0.003,-0.005,1,0.108,0.011,-0.119,0.29,0,0,-0.96
-0.004,-0.003,0.999,-0.381,-0.043,-0.035,0.29,0,0,-0.96
-0.003,-0.005,1.002,-0.228,0.018,-0.295,0.29,0,0,-0.96
0.001,-0.004,1.005,-0.373,-0.096,-0.073,0.29,0,0,-0.96
0,-0.004,1.008,0.039,0.156,0.079,0.29,0,0,-0.96
